"rna","atac"
0.0939534537153119,3.34079126889711
0.0429131402468252,1.76199267065712
0.0137887652987279,1.78508688569257
0.465614391208413,0.834623341411267
0.0553907766272399,1.19729717266519
0.0475282956583833,1.10660621887232
0.332354995599415,0.744762771582308
0.0614298510055566,0.933452307727367
0.0133484188803989,0.954625473113524
0.0157150429767383,0.949611340268419
0.00988699898800682,0.877964383738106
0.0155697735935267,0.824525718507485
0.0366898688132333,0.765198586486926
0.0100806570610956,0.768459591023718
0.0470275827898159,0.728986886831839
0.0253545038386926,0.703823879771814
0.465257754163817,0.173055487763296
