"rna","atac"
13.8986533145179,0.538205512665835
3.74479988885008,0.141518631842874
2.87107218898579,0.0568407708828378
1.99114475201084,0.0988500751555543
0.0421219743126144,1.69619435429776
1.25822290011912,0.0871437917085216
1.12009462666548,0.0739661538768033
0.215318031004297,0.772083936022383
0.447723052293836,0.342004836711662
0.100907306456477,0.59748065134495
0.62967834968044,0.0627472238386106
0.485068675152744,0.180292878621213
0.604405500380778,0.0404035372936984
0.0338083196242733,0.587056198724545
