"rna","atac"
1.12098288916929,2.77611571267743
0.14390946806222,3.67985237502025
3.34803988650413,0.0837020879767336
0.133513541834862,2.25435515107281
0.0879289127178162,1.65768026064244
0.0195313984380996,1.70786943875701
0.0817879127318344,1.29821345167513
0.129362055172466,1.2250197431528
0.0265066338631659,1.3144747166646
0.0341397579736169,1.23848326880615
0.226975457832346,0.888594478131244
0.0377198055655281,1.03214629409102
0.925012953058124,0.125176560628393
0.163306838643007,0.847001214408838
0.0658902168812925,0.910671589628287
0.0781927859614839,0.883224444574182
0.0258820944191052,0.814031134242554
