"rna","atac"
8.41279756077864,0.000222667693539069
4.82427896638211,7.24122461992494e-06
0.0692461166163838,3.10254959654754
0.0393779862293164,2.01988081247972
0.0898520392088265,1.39178607453943
0.0485938033908839,1.30253368574839
0.0123124746880587,1.26604690102207
0.0223914100720424,1.18551197846229
0.0147336525707531,1.11619081971022
0.0109244213420068,1.08193377557952
0.00468900380996562,1.06762205931473
0.081177223857587,0.989963799498361
0.103053976776279,0.795471208911314
0.709962642433648,0.1646373864295
0.0206013224339441,0.853620757683826
0.023464844165666,0.831244138606779
0.0131943869976947,0.774129382007571
